Category,Food or category (serving),Number of sources,Mean Ni (ug/serving),Stddev (ug/serving),Min Ni (ug/serving),Max Ni (ug/serving)
Grain products and bakery,"Cold cereals, junk food, 30 g",52,12.26,4.43,2.7,22.65
Grain products and bakery,"Bread, whole wheat, 75 g",142,13.54,4.41,1.16,30.75
Grain products and bakery,"Pasta, whole wheat, cooked, 215 g",8,11.77,8.86,0.15,24.96
Grain products and bakery,"Hot cereal, rice, cooked, 194 g",18,13.72,5.52,2.29,17.75
Grain products and bakery,"Pasta, rice or corn, dry, 85 g*",1,12.33,0,12.33,12.33
Grain products and bakery,"Potato dumpling/gnocchi, cooked, 215 g",2,13.43,7.41,6.02,20.83
Grain products and bakery,"Pasta, whole wheat, dry, 85 g",4,15.87,8.95,3.15,25.5
Grain products and bakery,"Bread, gluten-free, 75 g",5,15.38,11.65,0.72,30.75
Grain products and bakery,"Bread, fruited, 75 g",8,16.57,10.21,5.03,37.95
Grain products and bakery,"Rolls, multigrain, 55 g",3,16.69,10.76,3.81,30.14
Grain products and bakery,"Bread, multigrain, 75 g",38,18.25,15.86,2.46,101.25
Grain products and bakery,"Bread, seeded, 75 g",50,29.13,17.29,4.66,75.75
Grain products and bakery,"Cold cereal, other grains, 30 g",7,24.95,32.66,1.94,100.8
Grain products and bakery,"Bread, spelt, 75 g",4,32.72,8.91,25.5,47.63
Grain products and bakery,"Bread, oat, 75 g",7,31.43,12.66,9.53,45.9
Grain products and bakery,"Hot cereal, multigrain, cooked, 194 g",17,31.39,23.95,12.34,116.4
Grain products and bakery,"Cold cereal, granola/muesli, 55 g",73,50.9,17.52,9.35,126.5
Grain products and bakery,"Cold cereal, oat ring, 30 g",55,64.62,20.24,13.89,112.41
Grain products and bakery,"Hot cereal, oat, cooked, 194 g",83,78.07,27.36,12.22,189.54
Grain products and bakery,"Hot cereal, millet, cooked, 194 g",9,90.75,9.12,77.6,97.39
Grain products and bakery,"Crackers, buckwheat, 30 g*",1,124.2,0,124.2,124.2
Grain products and bakery,"Hot cereal, buckwheat, cooked, 140 g",12,150.54,43.22,31.22,211.4
Grain products and bakery,"Pasta, bean-based, dry, 85 g*",1,202.3,0,202.3,202.3
Grain products and bakery,"Pasta, buckwheat, dry, 85 g*",1,332.35,0,332.35,332.35
Grain products and bakery,"Pasta, buckwheat, cooked, 215 g*",1,395.6,0,395.6,395.6
"Whole grains, flours and starches","Rye grains, sprouted, 140 g*",1,0.06,0,0.06,0.06
