FiscalYear CalendarYear Collection TDSFoodNumber TDSFoodDescription Season TDSFoodListType Region Analyte Units Concentration ReportingLimit 
2018 2018 5 3 "Milk, chocolate, reduced fat, fluid" Winter Regional Southeast Nickel ppb 92 20 
2018 2018 6 3 "Milk, chocolate, reduced fat, fluid" Winter Regional Northeast Nickel ppb 56 20 
2018 2018 7 3 "Milk, chocolate, reduced fat, fluid" Summer Regional West Nickel ppb 81 20 
2018 2018 8 3 "Milk, chocolate, reduced fat, fluid" Summer Regional Northeast Nickel ppb 77 20 
2018 2018 9 3 "Milk, chocolate, reduced fat, fluid" Summer Regional Southwest Nickel ppb 79 20 
2018 2018 10 3 "Milk, chocolate, reduced fat, fluid" Summer Regional Mid-Atlantic Nickel ppb 73 20 
2018 2018 11 3 "Milk, chocolate, reduced fat, fluid" Summer Regional West Nickel ppb 97 20 
2018 2018 12 3 "Milk, chocolate, reduced fat, fluid" Summer Regional North Central Nickel ppb 40 20 
2019 2018 1 3 "Milk, chocolate, reduced fat, fluid" Winter Regional West Nickel ppb 60 20 
2019 2018 2 3 "Milk, chocolate, reduced fat, fluid" Winter Regional Southeast Nickel ppb 54 20 
2019 2018 3 3 "Milk, chocolate, reduced fat, fluid" Winter Regional Northeast Nickel ppb 56 20 
2019 2019 7 3 "Milk, chocolate, reduced fat, fluid" Summer Regional Southeast Nickel ppb 69 20 
2019 2019 8 3 "Milk, chocolate, reduced fat, fluid" Summer Regional North Central Nickel ppb 62 20 
2019 2019 9 3 "Milk, chocolate, reduced fat, fluid" Summer Regional West Nickel ppb 67 20 
2019 2019 10 3 "Milk, chocolate, reduced fat, fluid" Summer Regional Northeast Nickel ppb 62 20 
2019 2019 11 3 "Milk, chocolate, reduced fat, fluid" Summer Regional Mid-Atlantic Nickel ppb 52 20 
2019 2019 12 3 "Milk, chocolate, reduced fat, fluid" Summer Regional Southwest Nickel ppb 74 20 
2020 2019 1 3 "Milk, chocolate, reduced fat, fluid" Winter Regional Northeast Nickel ppb 54 20 
2020 2019 2 3 "Milk, chocolate, reduced fat, fluid" Winter Regional Southwest Nickel ppb 65 20 
2020 2019 3 3 "Milk, chocolate, reduced fat, fluid" Winter Regional Mid-Atlantic Nickel ppb 59 20 
2020 2020 4 3 "Milk, chocolate, reduced fat, fluid" Winter Regional West Nickel ppb 96 20 
2020 2020 5 3 "Milk, chocolate, reduced fat, fluid" Winter Regional North Central Nickel ppb 43 20 
2020 2020 6 3 "Milk, chocolate, reduced fat, fluid" Winter Regional Southeast Nickel ppb 39 20 
